Date,Restaurant_Food,Actual_Units_Sold,Predicted_Units_Sold
2023-02-06,R3_Margherita Pizza (small),70,71.767746
2023-02-07,R3_Margherita Pizza (small),68,70.49478
2023-02-08,R3_Margherita Pizza (small),83,68.29992
2023-02-09,R3_Margherita Pizza (small),85,84.22105
2023-02-10,R3_Margherita Pizza (small),70,74.42348
2023-02-11,R3_Margherita Pizza (small),81,94.41459
2023-02-12,R3_Margherita Pizza (small),80,84.399506
2023-02-13,R3_Margherita Pizza (small),69,72.01726
2023-02-14,R3_Margherita Pizza (small),95,94.295944
2023-02-15,R3_Margherita Pizza (small),60,77.51379
2023-02-16,R3_Margherita Pizza (small),50,71.35049
2023-02-17,R3_Margherita Pizza (small),99,95.02177
2023-02-18,R3_Margherita Pizza (small),103,86.838776
2023-02-19,R3_Margherita Pizza (small),100,90.79949
2023-02-20,R3_Margherita Pizza (small),91,82.08771
2023-02-21,R3_Margherita Pizza (small),73,83.03545
2023-02-22,R3_Margherita Pizza (small),118,104.79281
2023-02-23,R3_Margherita Pizza (small),105,104.22145
2023-02-24,R3_Margherita Pizza (small),70,83.41842
2023-02-25,R3_Margherita Pizza (small),80,103.05705
2023-02-26,R3_Margherita Pizza (small),95,118.930595
2023-02-27,R3_Margherita Pizza (small),149,110.93564
2023-02-28,R3_Margherita Pizza (small),80,90.51387
2023-03-01,R3_Margherita Pizza (small),87,77.235916
2023-03-02,R3_Margherita Pizza (small),80,86.0124
2023-03-03,R3_Margherita Pizza (small),82,96.72137
2023-03-04,R3_Margherita Pizza (small),87,95.05432
2023-03-05,R3_Margherita Pizza (small),73,100.343895
2023-03-06,R3_Margherita Pizza (small),97,88.8707
2023-03-07,R3_Margherita Pizza (small),81,76.17743
2023-03-08,R3_Margherita Pizza (small),83,86.764114
2023-03-09,R3_Margherita Pizza (small),83,73.93203
2023-03-10,R3_Margherita Pizza (small),92,88.761665
2023-03-11,R3_Margherita Pizza (small),84,89.86784
2023-03-12,R3_Margherita Pizza (small),110,89.08538
2023-03-13,R3_Margherita Pizza (small),102,111.034584
2023-03-14,R3_Margherita Pizza (small),80,84.53953
2023-03-15,R3_Margherita Pizza (small),69,81.72277
2023-03-16,R3_Margherita Pizza (small),67,76.82539
2023-03-17,R3_Margherita Pizza (small),71,73.945816
2023-03-18,R3_Margherita Pizza (small),100,86.40481
2023-03-19,R3_Margherita Pizza (small),79,88.29384
2023-03-20,R3_Margherita Pizza (small),65,70.6296
2023-03-21,R3_Margherita Pizza (small),92,71.341484
2023-03-22,R3_Margherita Pizza (small),89,75.20054
2023-03-23,R3_Margherita Pizza (small),76,77.3785
2023-03-24,R3_Margherita Pizza (small),80,81.027695
2023-03-25,R3_Margherita Pizza (small),91,89.89969
2023-03-26,R3_Margherita Pizza (small),80,94.1496
2023-03-27,R3_Margherita Pizza (small),66,79.6655
2023-03-28,R3_Margherita Pizza (small),106,92.36284
2023-03-29,R3_Margherita Pizza (small),70,83.448715
2023-03-30,R3_Margherita Pizza (small),73,70.98069
2023-03-31,R3_Margherita Pizza (small),78,70.41756
2023-04-01,R3_Margherita Pizza (small),73,81.02088
2023-04-02,R3_Margherita Pizza (small),74,78.13258
2023-04-03,R3_Margherita Pizza (small),85,66.77917
2023-04-04,R3_Margherita Pizza (small),69,71.06544
2023-04-05,R3_Margherita Pizza (small),84,65.29273
2023-04-06,R3_Margherita Pizza (small),75,67.3916
2023-04-07,R3_Margherita Pizza (small),61,67.7867
2023-04-08,R3_Margherita Pizza (small),81,77.176926
2023-04-09,R3_Margherita Pizza (small),101,78.26177
2023-04-10,R3_Margherita Pizza (small),78,73.19141
2023-04-11,R3_Margherita Pizza (small),74,70.63324
2023-04-12,R3_Margherita Pizza (small),116,97.45112
2023-04-13,R3_Margherita Pizza (small),68,73.67405
2023-04-14,R3_Margherita Pizza (small),68,70.89124
2023-04-15,R3_Margherita Pizza (small),82,86.99558
2023-04-16,R3_Margherita Pizza (small),103,85.28575
2023-04-17,R3_Margherita Pizza (small),90,85.403534
2023-04-18,R3_Margherita Pizza (small),71,78.23737
2023-04-19,R3_Margherita Pizza (small),82,83.904526
2023-04-20,R3_Margherita Pizza (small),60,72.31929
2023-04-21,R3_Margherita Pizza (small),70,74.18799
2023-04-22,R3_Margherita Pizza (small),150,111.92617
2023-04-23,R3_Margherita Pizza (small),179,165.0244
2023-04-24,R3_Margherita Pizza (small),74,86.948975
2023-04-25,R3_Margherita Pizza (small),134,122.35387
2023-04-26,R3_Margherita Pizza (small),82,101.43777
2023-04-27,R3_Margherita Pizza (small),69,93.76703
2023-04-28,R3_Margherita Pizza (small),82,88.26004
2023-04-29,R3_Margherita Pizza (small),89,98.84113
2023-04-30,R3_Margherita Pizza (small),111,122.62357
2023-05-01,R3_Margherita Pizza (small),76,83.34295
2023-05-02,R3_Margherita Pizza (small),76,90.64909
2023-05-03,R3_Margherita Pizza (small),78,75.75951
2023-05-04,R3_Margherita Pizza (small),60,74.16872
2023-05-05,R3_Margherita Pizza (small),69,70.92056
2023-05-06,R3_Margherita Pizza (small),91,99.55143
2023-05-07,R3_Margherita Pizza (small),92,81.73886
2023-05-08,R3_Margherita Pizza (small),93,70.06452
2023-05-09,R3_Margherita Pizza (small),81,72.35803
2023-05-10,R3_Margherita Pizza (small),78,82.87254
2023-05-11,R3_Margherita Pizza (small),92,72.2035
2023-05-12,R3_Margherita Pizza (small),75,77.63299
2023-05-13,R3_Margherita Pizza (small),107,90.63057
2023-05-14,R3_Margherita Pizza (small),66,90.946
2023-05-15,R3_Margherita Pizza (small),73,72.63353
2023-05-16,R3_Margherita Pizza (small),70,73.43632
2023-05-17,R3_Margherita Pizza (small),69,70.008675
2023-05-18,R3_Margherita Pizza (small),69,66.41055
2023-05-19,R3_Margherita Pizza (small),96,79.12529
2023-05-20,R3_Margherita Pizza (small),84,78.12124
2023-05-21,R3_Margherita Pizza (small),112,103.06747
2023-05-22,R3_Margherita Pizza (small),94,72.90231
2023-05-23,R3_Margherita Pizza (small),128,114.63468
2023-05-24,R3_Margherita Pizza (small),75,89.68924
2023-05-25,R3_Margherita Pizza (small),97,92.65499
2023-05-26,R3_Margherita Pizza (small),95,109.66823
2023-05-27,R3_Margherita Pizza (small),95,109.51067
2023-05-28,R3_Margherita Pizza (small),128,123.551636
2023-05-29,R3_Margherita Pizza (small),100,91.73527
2023-05-30,R3_Margherita Pizza (small),104,101.110405
2023-05-31,R3_Margherita Pizza (small),79,87.00965
2023-06-01,R3_Margherita Pizza (small),82,82.981865
2023-06-02,R3_Margherita Pizza (small),75,83.114876
2023-06-03,R3_Margherita Pizza (small),69,120.39209
2023-06-04,R3_Margherita Pizza (small),106,114.313
2023-06-05,R3_Margherita Pizza (small),71,79.33864
2023-06-06,R3_Margherita Pizza (small),74,72.707954
2023-06-07,R3_Margherita Pizza (small),66,72.371765
2023-06-08,R3_Margherita Pizza (small),66,67.24563
2023-06-09,R3_Margherita Pizza (small),56,66.5141
2023-06-10,R3_Margherita Pizza (small),106,86.5557
2023-06-11,R3_Margherita Pizza (small),61,78.62616
2023-06-12,R3_Margherita Pizza (small),84,65.54056
2023-06-13,R3_Margherita Pizza (small),69,66.436134
2023-06-14,R3_Margherita Pizza (small),61,65.8649
2023-06-15,R3_Margherita Pizza (small),82,76.94988
2023-06-16,R3_Margherita Pizza (small),57,66.58197
2023-06-17,R3_Margherita Pizza (small),93,73.80477
2023-06-18,R3_Margherita Pizza (small),72,76.232994
2023-06-19,R3_Margherita Pizza (small),104,78.77826
2023-06-20,R3_Margherita Pizza (small),76,65.970566
2023-06-21,R3_Margherita Pizza (small),79,82.71568
2023-06-22,R3_Margherita Pizza (small),89,79.34681
2023-06-23,R3_Margherita Pizza (small),79,86.84921
2023-06-24,R3_Margherita Pizza (small),91,97.29335
2023-06-25,R3_Margherita Pizza (small),92,98.39476
2023-06-26,R3_Margherita Pizza (small),87,88.780266
2023-06-27,R3_Margherita Pizza (small),77,85.13022
2023-06-28,R3_Margherita Pizza (small),69,81.198296
2023-06-29,R3_Margherita Pizza (small),96,79.36668
2023-06-30,R3_Margherita Pizza (small),72,84.67797
2023-07-01,R3_Margherita Pizza (small),78,88.84078
2023-07-02,R3_Margherita Pizza (small),73,81.282745
2023-07-03,R3_Margherita Pizza (small),59,67.709656
2023-07-04,R3_Margherita Pizza (small),50,65.47153
2023-07-05,R3_Margherita Pizza (small),43,62.678444
2023-07-06,R3_Margherita Pizza (small),50,60.206654
2023-07-07,R3_Margherita Pizza (small),54,54.305035
2023-07-08,R3_Margherita Pizza (small),65,61.95421
2023-07-09,R3_Margherita Pizza (small),55,63.311264
2023-07-10,R3_Margherita Pizza (small),51,53.246754
2023-07-11,R3_Margherita Pizza (small),66,51.530445
2023-07-12,R3_Margherita Pizza (small),70,54.134506
2023-07-13,R3_Margherita Pizza (small),73,55.53911
2023-07-14,R3_Margherita Pizza (small),72,63.014336
2023-07-15,R3_Margherita Pizza (small),81,79.18135
2023-07-16,R3_Margherita Pizza (small),68,77.44588
2023-07-17,R3_Margherita Pizza (small),66,67.94476
2023-07-18,R3_Margherita Pizza (small),74,71.69017
2023-07-19,R3_Margherita Pizza (small),67,72.90237
2023-07-20,R3_Margherita Pizza (small),68,73.021095
2023-07-21,R3_Margherita Pizza (small),63,64.98339
2023-07-22,R3_Margherita Pizza (small),71,73.49313
2023-07-23,R3_Margherita Pizza (small),71,71.4781
2023-07-24,R3_Margherita Pizza (small),61,63.531345
2023-07-25,R3_Margherita Pizza (small),49,62.512695
2023-07-26,R3_Margherita Pizza (small),57,60.03058
2023-07-27,R3_Margherita Pizza (small),65,58.419746
2023-07-28,R3_Margherita Pizza (small),61,58.67023
2023-07-29,R3_Margherita Pizza (small),62,66.935715
2023-07-30,R3_Margherita Pizza (small),70,64.93886
2023-07-31,R3_Margherita Pizza (small),62,55.969635
2023-08-01,R3_Margherita Pizza (small),56,55.930763
2023-08-02,R3_Margherita Pizza (small),66,57.928234
2023-08-03,R3_Margherita Pizza (small),78,82.56225
2023-08-04,R3_Margherita Pizza (small),57,72.36834
2023-08-05,R3_Margherita Pizza (small),135,100.40678
2023-08-06,R3_Margherita Pizza (small),91,94.68075
2023-08-07,R3_Margherita Pizza (small),88,84.92104
2023-08-08,R3_Margherita Pizza (small),63,74.930466
2023-08-09,R3_Margherita Pizza (small),65,75.95463
2023-08-10,R3_Margherita Pizza (small),65,78.24481
2023-08-11,R3_Margherita Pizza (small),62,72.93606
2023-08-12,R3_Margherita Pizza (small),60,74.92331
2023-08-13,R3_Margherita Pizza (small),67,71.8419
2023-08-14,R3_Margherita Pizza (small),56,61.486233
2023-08-15,R3_Margherita Pizza (small),63,59.06868
2023-08-16,R3_Margherita Pizza (small),65,70.98187
2023-08-17,R3_Margherita Pizza (small),59,69.547745
2023-08-18,R3_Margherita Pizza (small),64,80.262375
2023-08-19,R3_Margherita Pizza (small),57,66.54697
2023-08-20,R3_Margherita Pizza (small),72,63.426403
2023-08-21,R3_Margherita Pizza (small),57,58.098038
2023-08-22,R3_Margherita Pizza (small),49,57.863827
2023-08-23,R3_Margherita Pizza (small),71,54.204254
2023-08-24,R3_Margherita Pizza (small),61,56.735558
2023-08-25,R3_Margherita Pizza (small),82,68.440605
2023-08-26,R3_Margherita Pizza (small),68,67.6309
2023-08-27,R3_Margherita Pizza (small),74,85.209946
2023-08-28,R3_Margherita Pizza (small),53,62.137924
2023-08-29,R3_Margherita Pizza (small),62,61.997406
2023-08-30,R3_Margherita Pizza (small),53,63.084503
2023-08-31,R3_Margherita Pizza (small),53,61.160515
2023-09-01,R3_Margherita Pizza (small),67,60.986618
2023-09-02,R3_Margherita Pizza (small),70,65.89927
2023-09-03,R3_Margherita Pizza (small),58,67.78423
2023-09-04,R3_Margherita Pizza (small),64,55.75511
2023-09-05,R3_Margherita Pizza (small),64,57.040318
2023-09-06,R3_Margherita Pizza (small),68,68.25655
2023-09-07,R3_Margherita Pizza (small),70,61.74639
2023-09-08,R3_Margherita Pizza (small),60,63.04907
2023-09-09,R3_Margherita Pizza (small),81,71.90584
2023-09-10,R3_Margherita Pizza (small),63,70.94962
2023-09-11,R3_Margherita Pizza (small),73,71.95328
2023-09-12,R3_Margherita Pizza (small),70,74.37858
2023-09-13,R3_Margherita Pizza (small),58,64.76885
2023-09-14,R3_Margherita Pizza (small),65,64.18484
2023-09-15,R3_Margherita Pizza (small),78,73.49774
2023-09-16,R3_Margherita Pizza (small),83,108.28693
2023-09-17,R3_Margherita Pizza (small),83,73.94234
2023-09-18,R3_Margherita Pizza (small),60,67.21509
2023-09-19,R3_Margherita Pizza (small),58,64.2445
2023-09-20,R3_Margherita Pizza (small),51,63.73809
2023-09-21,R3_Margherita Pizza (small),62,62.261547
2023-09-22,R3_Margherita Pizza (small),61,64.00401
2023-09-23,R3_Margherita Pizza (small),65,73.66986
2023-09-24,R3_Margherita Pizza (small),66,69.93564
2023-09-25,R3_Margherita Pizza (small),55,56.753834
2023-09-26,R3_Margherita Pizza (small),63,65.81621
2023-09-27,R3_Margherita Pizza (small),67,55.646137
2023-09-28,R3_Margherita Pizza (small),84,70.89076
2023-09-29,R3_Margherita Pizza (small),37,62.236927
2023-09-30,R3_Margherita Pizza (small),66,66.693344
2023-10-01,R3_Margherita Pizza (small),76,69.28456
2023-10-02,R3_Margherita Pizza (small),63,71.89178
2023-10-03,R3_Margherita Pizza (small),72,72.03126
2023-10-04,R3_Margherita Pizza (small),71,63.190166
2023-10-05,R3_Margherita Pizza (small),56,64.05455
2023-10-06,R3_Margherita Pizza (small),63,58.480885
2023-10-07,R3_Margherita Pizza (small),74,101.62006
2023-10-08,R3_Margherita Pizza (small),67,72.09182
2023-10-09,R3_Margherita Pizza (small),65,64.481606
2023-10-10,R3_Margherita Pizza (small),73,73.32947
2023-10-11,R3_Margherita Pizza (small),72,73.85989
2023-10-12,R3_Margherita Pizza (small),59,63.677174
2023-10-13,R3_Margherita Pizza (small),71,73.305145
2023-10-14,R3_Margherita Pizza (small),70,72.33242
2023-10-15,R3_Margherita Pizza (small),100,101.78664
2023-10-16,R3_Margherita Pizza (small),77,77.11599
2023-10-17,R3_Margherita Pizza (small),51,68.14984
2023-10-18,R3_Margherita Pizza (small),57,64.939644
2023-10-19,R3_Margherita Pizza (small),69,64.52671
2023-10-20,R3_Margherita Pizza (small),49,64.52454
2023-10-21,R3_Margherita Pizza (small),70,83.72715
2023-10-22,R3_Margherita Pizza (small),75,71.711555
2023-10-23,R3_Margherita Pizza (small),62,61.110657
2023-10-24,R3_Margherita Pizza (small),65,57.9327
2023-10-25,R3_Margherita Pizza (small),64,60.40033
2023-10-26,R3_Margherita Pizza (small),56,62.987816
2023-10-27,R3_Margherita Pizza (small),61,58.7611
2023-10-28,R3_Margherita Pizza (small),58,73.503204
2023-10-29,R3_Margherita Pizza (small),95,94.3924
2023-10-30,R3_Margherita Pizza (small),82,75.555115
2023-10-31,R3_Margherita Pizza (small),79,64.0947
2023-11-01,R3_Margherita Pizza (small),61,64.13479
2023-11-02,R3_Margherita Pizza (small),47,64.19859
2023-11-03,R3_Margherita Pizza (small),52,60.88332
2023-11-04,R3_Margherita Pizza (small),78,71.55483
2023-11-05,R3_Margherita Pizza (small),102,102.33562
2023-11-06,R3_Margherita Pizza (small),67,66.83956
2023-11-07,R3_Margherita Pizza (small),56,64.08136
2023-11-08,R3_Margherita Pizza (small),69,62.125614
2023-11-09,R3_Margherita Pizza (small),60,63.163177
2023-11-10,R3_Margherita Pizza (small),55,63.882557
2023-11-11,R3_Margherita Pizza (small),65,85.51602
2023-11-12,R3_Margherita Pizza (small),55,71.254845
2023-11-13,R3_Margherita Pizza (small),59,57.915104
2023-11-14,R3_Margherita Pizza (small),54,56.611313
2023-11-15,R3_Margherita Pizza (small),67,68.96215
2023-11-16,R3_Margherita Pizza (small),47,57.370876
2023-11-17,R3_Margherita Pizza (small),63,52.912212
2023-11-18,R3_Margherita Pizza (small),65,64.43851
2023-11-19,R3_Margherita Pizza (small),66,65.049934
2023-11-20,R3_Margherita Pizza (small),46,57.014942
2023-11-21,R3_Margherita Pizza (small),67,53.453236
2023-11-22,R3_Margherita Pizza (small),59,57.014458
2023-11-23,R3_Margherita Pizza (small),57,54.585163
2023-11-24,R3_Margherita Pizza (small),81,75.72743
2023-11-25,R3_Margherita Pizza (small),67,67.5186
2023-11-26,R3_Margherita Pizza (small),60,67.54265
2023-11-27,R3_Margherita Pizza (small),64,57.82158
2023-11-28,R3_Margherita Pizza (small),61,62.992344
2023-11-29,R3_Margherita Pizza (small),101,99.88279
2023-11-30,R3_Margherita Pizza (small),59,63.35084
2023-12-01,R3_Margherita Pizza (small),92,65.47524
2023-12-02,R3_Margherita Pizza (small),97,89.63639
2023-12-03,R3_Margherita Pizza (small),81,92.429474
2023-12-04,R3_Margherita Pizza (small),69,76.91953
2023-12-05,R3_Margherita Pizza (small),79,75.81268
2023-12-06,R3_Margherita Pizza (small),85,88.593
2023-12-07,R3_Margherita Pizza (small),69,74.78851
2023-12-08,R3_Margherita Pizza (small),69,78.125755
2023-12-09,R3_Margherita Pizza (small),67,85.71612
2023-12-10,R3_Margherita Pizza (small),95,88.55431
2023-12-11,R3_Margherita Pizza (small),79,70.20458
2023-12-12,R3_Margherita Pizza (small),81,73.55212
2023-12-13,R3_Margherita Pizza (small),93,101.83914
2023-12-14,R3_Margherita Pizza (small),85,89.08298
2023-12-15,R3_Margherita Pizza (small),66,79.342995
2023-12-16,R3_Margherita Pizza (small),74,84.7585
2023-12-17,R3_Margherita Pizza (small),84,92.27884
2023-12-18,R3_Margherita Pizza (small),82,79.7761
2023-12-19,R3_Margherita Pizza (small),69,80.223145
2023-12-20,R3_Margherita Pizza (small),61,74.1738
2023-12-21,R3_Margherita Pizza (small),77,71.23064
2023-12-22,R3_Margherita Pizza (small),66,71.8652
2023-12-23,R3_Margherita Pizza (small),82,80.77514
2023-12-24,R3_Margherita Pizza (small),96,84.579155
2023-12-25,R3_Margherita Pizza (small),69,79.38021
2023-12-26,R3_Margherita Pizza (small),86,110.20819
2023-12-27,R3_Margherita Pizza (small),102,75.17386
2023-12-28,R3_Margherita Pizza (small),59,78.64606
2023-12-29,R3_Margherita Pizza (small),77,76.5497
2023-12-30,R3_Margherita Pizza (small),99,104.235
2023-12-31,R3_Margherita Pizza (small),77,91.47602
2023-01-01,R3_Masala Chai (cup),503,226.90036
2023-01-02,R3_Masala Chai (cup),398,264.90988
2023-01-03,R3_Masala Chai (cup),499,267.15915
2023-01-04,R3_Masala Chai (cup),512,297.02808
2023-01-05,R3_Masala Chai (cup),455,318.1428
2023-01-06,R3_Masala Chai (cup),442,319.82224
2023-01-07,R3_Masala Chai (cup),584,419.26642
2023-01-08,R3_Masala Chai (cup),519,405.18948
2023-01-09,R3_Masala Chai (cup),465,316.9017
2023-01-10,R3_Masala Chai (cup),510,308.4675
2023-01-11,R3_Masala Chai (cup),451,260.75995
2023-01-12,R3_Masala Chai (cup),407,277.3086
2023-01-13,R3_Masala Chai (cup),614,409.5159
2023-01-14,R3_Masala Chai (cup),769,418.7269
2023-01-15,R3_Masala Chai (cup),433,318.65942
2023-01-16,R3_Masala Chai (cup),558,374.6478
2023-01-17,R3_Masala Chai (cup),686,407.79852
2023-01-18,R3_Masala Chai (cup),539,330.14035
2023-01-19,R3_Masala Chai (cup),423,261.49802
2023-01-20,R3_Masala Chai (cup),490,256.789
2023-01-21,R3_Masala Chai (cup),432,308.7844
2023-01-22,R3_Masala Chai (cup),436,315.4799
2023-01-23,R3_Masala Chai (cup),509,278.7402
2023-01-24,R3_Masala Chai (cup),282,268.22
2023-01-25,R3_Masala Chai (cup),477,278.12427
2023-01-26,R3_Masala Chai (cup),407,280.23306
2023-01-27,R3_Masala Chai (cup),391,260.59332
2023-01-28,R3_Masala Chai (cup),469,312.6058
2023-01-29,R3_Masala Chai (cup),663,360.78232
2023-01-30,R3_Masala Chai (cup),432,276.0529
2023-01-31,R3_Masala Chai (cup),424,260.40753
2023-02-01,R3_Masala Chai (cup),581,259.89957
2023-02-02,R3_Masala Chai (cup),546,310.5533
2023-02-03,R3_Masala Chai (cup),407,267.51358
2023-02-04,R3_Masala Chai (cup),489,329.98938
2023-02-05,R3_Masala Chai (cup),429,294.5631
2023-02-06,R3_Masala Chai (cup),397,276.79596
2023-02-07,R3_Masala Chai (cup),322,271.94843
2023-02-08,R3_Masala Chai (cup),349,262.63693
2023-02-09,R3_Masala Chai (cup),698,309.95883
2023-02-10,R3_Masala Chai (cup),527,324.17917
2023-02-11,R3_Masala Chai (cup),509,301.12207
2023-02-12,R3_Masala Chai (cup),703,368.36496
2023-02-13,R3_Masala Chai (cup),476,275.83438
2023-02-14,R3_Masala Chai (cup),696,401.0778
2023-02-15,R3_Masala Chai (cup),370,274.21442
2023-02-16,R3_Masala Chai (cup),406,268.08603
2023-02-17,R3_Masala Chai (cup),660,448.57825
2023-02-18,R3_Masala Chai (cup),652,335.59576
2023-02-19,R3_Masala Chai (cup),615,331.57166
2023-02-20,R3_Masala Chai (cup),467,306.23288
2023-02-21,R3_Masala Chai (cup),520,307.13672
2023-02-22,R3_Masala Chai (cup),844,439.5438
2023-02-23,R3_Masala Chai (cup),434,309.96307
2023-02-24,R3_Masala Chai (cup),511,311.68832
2023-02-25,R3_Masala Chai (cup),511,351.6323
2023-02-26,R3_Masala Chai (cup),824,386.37543
2023-02-27,R3_Masala Chai (cup),591,404.85483
2023-02-28,R3_Masala Chai (cup),502,350.034
2023-03-01,R3_Masala Chai (cup),336,214.19672
2023-03-02,R3_Masala Chai (cup),301,229.09528
2023-03-03,R3_Masala Chai (cup),384,220.19147
2023-03-04,R3_Masala Chai (cup),494,261.9701
2023-03-05,R3_Masala Chai (cup),516,255.16728
2023-03-06,R3_Masala Chai (cup),389,216.02002
2023-03-07,R3_Masala Chai (cup),339,211.84473
2023-03-08,R3_Masala Chai (cup),383,231.08157
2023-03-09,R3_Masala Chai (cup),293,273.16885
2023-03-10,R3_Masala Chai (cup),417,265.9738
2023-03-11,R3_Masala Chai (cup),375,262.70825
2023-03-12,R3_Masala Chai (cup),412,269.1857
2023-03-13,R3_Masala Chai (cup),675,362.30502
2023-03-14,R3_Masala Chai (cup),329,215.98193
2023-03-15,R3_Masala Chai (cup),370,206.94247
2023-03-16,R3_Masala Chai (cup),323,227.47408
2023-03-17,R3_Masala Chai (cup),455,275.01782
2023-03-18,R3_Masala Chai (cup),421,260.1466
2023-03-19,R3_Masala Chai (cup),472,255.05751
2023-03-20,R3_Masala Chai (cup),341,218.38884
2023-03-21,R3_Masala Chai (cup),450,266.79428
2023-03-22,R3_Masala Chai (cup),365,270.69135
2023-03-23,R3_Masala Chai (cup),395,266.34424
2023-03-24,R3_Masala Chai (cup),292,288.3871
2023-03-25,R3_Masala Chai (cup),447,301.86633
2023-03-26,R3_Masala Chai (cup),423,308.357
2023-03-27,R3_Masala Chai (cup),404,266.4572
2023-03-28,R3_Masala Chai (cup),463,259.37582
2023-03-29,R3_Masala Chai (cup),355,258.86456
2023-03-30,R3_Masala Chai (cup),265,222.6119
2023-03-31,R3_Masala Chai (cup),382,269.6863
2023-04-01,R3_Masala Chai (cup),390,253.8714
2023-04-02,R3_Masala Chai (cup),474,254.49701
2023-04-03,R3_Masala Chai (cup),298,226.76724
2023-04-04,R3_Masala Chai (cup),335,221.28
2023-04-05,R3_Masala Chai (cup),331,204.71617
2023-04-06,R3_Masala Chai (cup),325,215.18307
2023-04-07,R3_Masala Chai (cup),378,215.31114
2023-04-08,R3_Masala Chai (cup),407,267.2663
2023-04-09,R3_Masala Chai (cup),544,322.02243
2023-04-10,R3_Masala Chai (cup),338,277.25247
2023-04-11,R3_Masala Chai (cup),348,213.78166
2023-04-12,R3_Masala Chai (cup),613,333.23962
2023-04-13,R3_Masala Chai (cup),248,237.00587
2023-04-14,R3_Masala Chai (cup),391,270.20178
2023-04-15,R3_Masala Chai (cup),511,306.95236
2023-04-16,R3_Masala Chai (cup),436,253.04015
2023-04-17,R3_Masala Chai (cup),315,220.13974
2023-04-18,R3_Masala Chai (cup),395,211.49168
2023-04-19,R3_Masala Chai (cup),449,275.42642
2023-04-20,R3_Masala Chai (cup),356,230.80484
2023-04-21,R3_Masala Chai (cup),439,261.55087
2023-04-22,R3_Masala Chai (cup),820,442.33243
2023-04-23,R3_Masala Chai (cup),751,448.85706
2023-04-24,R3_Masala Chai (cup),433,277.3649
2023-04-25,R3_Masala Chai (cup),531,431.52927
2023-04-26,R3_Masala Chai (cup),397,252.75377
2023-04-27,R3_Masala Chai (cup),456,286.73126
2023-04-28,R3_Masala Chai (cup),383,231.7944
2023-04-29,R3_Masala Chai (cup),453,264.77014
2023-04-30,R3_Masala Chai (cup),564,322.05908
2023-05-01,R3_Masala Chai (cup),291,216.78404
2023-05-02,R3_Masala Chai (cup),336,199.43677
2023-05-03,R3_Masala Chai (cup),368,213.24342
2023-05-04,R3_Masala Chai (cup),390,271.64044
2023-05-05,R3_Masala Chai (cup),271,237.60516
2023-05-06,R3_Masala Chai (cup),419,346.16318
2023-05-07,R3_Masala Chai (cup),363,260.2379
2023-05-08,R3_Masala Chai (cup),359,224.81914
2023-05-09,R3_Masala Chai (cup),336,216.97758
2023-05-10,R3_Masala Chai (cup),266,212.97528
2023-05-11,R3_Masala Chai (cup),389,223.63658
2023-05-12,R3_Masala Chai (cup),350,230.78539
2023-05-13,R3_Masala Chai (cup),403,274.9254
2023-05-14,R3_Masala Chai (cup),409,266.81668
2023-05-15,R3_Masala Chai (cup),350,220.63397
2023-05-16,R3_Masala Chai (cup),404,218.5335
2023-05-17,R3_Masala Chai (cup),405,266.1632
2023-05-18,R3_Masala Chai (cup),388,279.06616
2023-05-19,R3_Masala Chai (cup),291,222.24059
2023-05-20,R3_Masala Chai (cup),391,255.88902
2023-05-21,R3_Masala Chai (cup),568,364.9219
2023-05-22,R3_Masala Chai (cup),419,220.0541
2023-05-23,R3_Masala Chai (cup),634,427.58005
2023-05-24,R3_Masala Chai (cup),364,272.88843
2023-05-25,R3_Masala Chai (cup),483,342.39047
2023-05-26,R3_Masala Chai (cup),433,322.534
2023-05-27,R3_Masala Chai (cup),488,294.649
2023-05-28,R3_Masala Chai (cup),376,308.95694
2023-05-29,R3_Masala Chai (cup),311,264.80646
2023-05-30,R3_Masala Chai (cup),288,211.93265
2023-05-31,R3_Masala Chai (cup),427,218.82106
2023-06-01,R3_Masala Chai (cup),358,235.51332
2023-06-02,R3_Masala Chai (cup),322,216.73201
2023-06-03,R3_Masala Chai (cup),451,249.97896
2023-06-04,R3_Masala Chai (cup),359,267.1817
2023-06-05,R3_Masala Chai (cup),383,224.67148
2023-06-06,R3_Masala Chai (cup),356,228.70549
2023-06-07,R3_Masala Chai (cup),320,214.13374
2023-06-08,R3_Masala Chai (cup),446,261.96237
2023-06-09,R3_Masala Chai (cup),473,285.95483
2023-06-10,R3_Masala Chai (cup),386,269.45956
2023-06-11,R3_Masala Chai (cup),418,269.72363
2023-06-12,R3_Masala Chai (cup),320,273.00967
2023-06-13,R3_Masala Chai (cup),336,210.59999
2023-06-14,R3_Masala Chai (cup),365,236.74802
2023-06-15,R3_Masala Chai (cup),446,280.6026
2023-06-16,R3_Masala Chai (cup),405,233.69585
2023-06-17,R3_Masala Chai (cup),482,256.54172
2023-06-18,R3_Masala Chai (cup),429,274.20703
2023-06-19,R3_Masala Chai (cup),388,224.03319
2023-06-20,R3_Masala Chai (cup),451,225.50624
2023-06-21,R3_Masala Chai (cup),400,218.08475
2023-06-22,R3_Masala Chai (cup),441,273.926
2023-06-23,R3_Masala Chai (cup),424,277.89362
2023-06-24,R3_Masala Chai (cup),412,309.96497
2023-06-25,R3_Masala Chai (cup),442,352.16806
